Date,Location,Site,Habitat,Transect,ACA,ACR,ALV,AST,CAU,COE,COS,CTE,CYP,DEN,DIP,ECH,ECL,EUP,FAV,FUN,FVS,GAL,GAR,GON,GOS,HEL,HEP,HER,HYD,LEP,LER,LES,LIT,LOB,MAD,MER,MIL,MON,MOR,MYC,OUL,OUR,OXY,PAC,PAV,PEC,PHY,PLA,PLE,PLS,POC,POD,POL,POR,PSA,SCA,SYM,TRA,TUR,UNK
1990,Singapore,H1,Crest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702702703,0,0,0,1.801801802,0,0,0,0,0,0,9.90990991,0,0,0,0,0,0,3.603603604,0,80.18018018,0,0,0,0,0,0,0,1.801801802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Singapore,H1,Crest,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,78.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Singapore,H1,Crest,3,0,0,0,0,0,0,0,0,0,0,0,3.680981595,0,2.45398773,2.45398773,0,0,1.226993865,0,0,0,0,0,0,4.90797546,0,0,0,0,0,0,0,0,47.85276074,0,0,0,0,7.36196319,0,0,1.226993865,0,3.067484663,0,0,0,0,0,11.04294479,14.72392638,0,0,0,0,0
1990,Singapore,H1,Crest,4,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,8.541666667,0,12.91666667,0,0,0,0,0,0,3.958333333,0,0,0,0,0,0,6.25,0,25,0,0,0,0,0,10.625,0,14.58333333,0,0,0,0,0,0,0,7.708333333,0,0,0,0,0,0
1990,Singapore,H1,Crest,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.61135371,0,0,0,0,0,0,0,9.6069869,0,9.6069869,0,13.10043668,0,0,0,0,0,27.07423581,0,0,0,0,0,0
1990,Singapore,H2,Crest,1,0,0,0,0,0,0,0,0,0,0,10.0536193,2.144772118,2.680965147,0,0,2.010723861,0,1.474530831,0,0,0,0,0,0,0,0,2.010723861,0,0,0,0,27.74798928,0,0,0,0,0,0,0,5.361930295,36.19302949,7.372654155,0,2.949061662,0,0,0,0,0,0,0,0,0,0,0,0
1990,Singapore,H2,Crest,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80952381,4.380952381,0,0,5.333333333,0,60,1.523809524,0,0,0,8,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7.238095238,0,0,0.952380952,0,0,0
1990,Singapore,H2,Crest,3,0,0,0,0,0,0,0,0,2.365308804,0,0,0,0,0,3.547963206,7.752956636,3.416557162,1.051248357,0,0,2.365308804,0,0,2.628120894,2.23390276,0,0,0,0,0,0,10.38107753,0,8.409986859,0,0,0,0,4.073587385,8.015768725,28.5151117,5.650459921,0,0,3.285151117,0,2.23390276,0,0,4.073587385,0,0,0,0,0,0
1990,Singapore,H2,Crest,4,0,0,0,0,0,0,0,0,0,0,0,9.213661636,0,3.89197776,1.826846704,0,0,0,0,0,3.335980937,0,0,0,0,0,0,0,0,0,0,20.41302621,0,9.293089754,0,0,0,0,0,5.242255759,9.690230342,8.181096108,0,7.227958697,0,0,0,0,0,19.85702939,0,0,1.826846704,0,0,0
1990,Singapore,H2,Crest,5,0,0,0,2.764976959,0,0,0,0,0,0,0,6.728110599,4.976958525,0,0,0,0,26.08294931,0,0,1.658986175,0,0,0,0,0,0,0,0,0,0,16.49769585,0,0,0,0,0,0,8.110599078,0,0,15.39170507,0,5.898617512,10.13824885,0,0,0,0,1.751152074,0,0,0,0,0,0
1990,Singapore,HW1,Crest,1,0,0,0,2.105263158,0,0,0,0,1.052631579,0,12.10526316,0,0,0,1.684210526,4.842105263,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11.78947368,0,0,0,0,0,0,0,0,31.05263158,7.473684211,0,1.684210526,7.157894737,0,0,0,0,3.052631579,0,0,0,0,0,0
1990,Singapore,HW1,Crest,2,0,0,0,0,0,0,0,0,5.223880597,0,0,9.950248756,0,0,3.731343284,15.42288557,0,1.243781095,0,0,0,0,0,0,1.990049751,0,0,0,3.731343284,0,0,11.44278607,0,0,0,0,0,0,5.472636816,0,26.86567164,12.93532338,0,0,1.990049751,0,0,0,0,0,0,0,0,0,0,0
1990,Singapore,HW1,Crest,3,0,0,0,0,0,0,0,0,0,0,0,10.08403361,1.176470588,0,0,7.899159664,0,0,0,3.697478992,4.537815126,0,0,0,0,0,0,0,0,0,0,22.01680672,0,19.15966387,0,0,0,0,1.848739496,0,0,6.554621849,0,0,15.29411765,0,0,7.731092437,0,0,0,0,0,0,0,0
1990,Singapore,HW1,Crest,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.268703899,3.688092729,0,0,0,1.264488936,6.849315068,0,0,0,0,0,0,0,0,0,0,10.22128556,0,0,0,0,0,0,0,1.58061117,18.96733404,6.849315068,0,0,41.6227608,0,0,0,0,2.10748156,0,0,1.58061117,0,0,0
1990,Singapore,HW1,Crest,5,0,0,0,0,0,0,0,0,4.803843074,0,0,22.41793435,0,0,0.800640512,2.401921537,0,3.682946357,0,10.40832666,1.200960769,0,0,0,5.604483587,0,0,0,0,0,0,16.01281025,0,9.6877502,0,0,0,0,2.401921537,0,1.601281025,16.57325861,0,0,0.800640512,0,0,0,0,0,0,0,0,0,0,1.601281025
1990,Singapore,HW2,Crest,1,0,0,0,4,0,0,0,0,0,0,0,5.333333333,5.333333333,1.333333333,5.333333333,10.66666667,8,5.333333333,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,4,13.33333333,0,5.333333333,0,0,0,0,0,8,0,0,0,0,0,0
1990,Singapore,HW2,Crest,2,0,0,0,0,0,0,0,0,0,0,0,0,22.15189873,0,0,0,0,0,0,0,0,1.265822785,0,0,1.898734177,0,0,0,0,0,0,9.810126582,0,2.53164557,0,0,0,0,0,1.898734177,9.493670886,30.06329114,0,12.65822785,2.53164557,0,0,0,0,1.898734177,0,0,3.797468354,0,0,0
1990,Singapore,HW2,Crest,3,0,0,0,0,0,0,0,0,0,0,0,1.775147929,7.100591716,0,0,2.366863905,3.550295858,0,0,0,0,0,0,0,7.692307692,0,0,0,0,0,0,17.4556213,0,4.733727811,0,0,0,0,0,3.550295858,18.34319527,21.59763314,0,0,7.100591716,0,0,0,0,4.733727811,0,0,0,0,0,0
1990,Singapore,HW2,Crest,4,0,0,0,0,0,0,0,0,0,0,0,5.22875817,1.960784314,0,0,5.22875817,0,0,0,0,0,0,0,0,8.496732026,0,0,0,0,0,0,16.99346405,0,3.921568627,0,0,0,0,7.843137255,0,18.30065359,11.76470588,0,4.575163399,0,0,0,0,0,15.68627451,0,0,0,0,0,0
1990,Singapore,HW2,Crest,5,0,0,0,0,0,0,0,0,0,0,0,0,57.37704918,0,1.366120219,2.049180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24590164,0,2.732240437,0,0,0,0,11.20218579,0,0,8.196721311,0,1.366120219,0,0,0,4.098360656,0,1.366120219,0,0,0,0,0,0
1990,Singapore,L2,Crest,1,0,0,0,0,0,0,0,0,0,0,14.48339483,0,0,0,0,0,0,0,0,5.166051661,9.225092251,0,0,0,0,0,0,0,0,0,0,14.7601476,0,5.996309963,0,0.461254613,0,0,10.60885609,6.180811808,0,23.43173432,0,0,0,0,0,0,0,5.535055351,4.151291513,0,0,0,0,0
1990,Singapore,L2,Crest,2,0,3.228962818,0,0,0,0,0,0,0,0,19.17808219,0,0,0,0,0,0,4.990215264,0,0,20.93933464,0,0,0,0,0,0,0,0,0.782778865,0,18.49315068,0,2.935420744,0,0,0,0,0,15.6555773,0,8.121330724,0,3.13111546,0,0,0,0,0,2.544031311,0,0,0,0,0,0
1990,Singapore,L2,Crest,3,0,0,0,0,0,0,0,0,0,0,11.80304127,6.082548878,0,16.00289645,0,0,0,6.661839247,0,2.317161477,7.458363505,0,0,0,2.46198407,0,0,0,1.230992035,0,0,17.23388849,0,0,0,0,0,0,0,0,0,10.64446054,0,3.7653874,0,0,0,0,0,11.44098479,2.896451846,0,0,0,0,0
1990,Singapore,L2,Crest,4,0,0,0,0,0,0,0,0,0,0,0,4.475703325,0,2.237851662,0,0,2.557544757,0,0,0,5.434782609,0,0,0,7.544757033,0,0,0,0,0,0,24.55242967,0,3.196930946,1.278772379,0,0,0,0,0,0,23.14578005,0,0,0,0,0,0,0,5.242966752,10.10230179,0,0,0,10.23017903,0
1990,Singapore,L2,Crest,5,0,27.32984293,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67539267,0,2.19895288,0,0,7.748691099,0,0,0,6.282722513,0,0,0,0,0,0,26.4921466,0,0,0,0,0,0,4.083769634,1.989528796,0,13.5078534,0,0,0,0,0,0,0,3.455497382,0,0,0,0,0,5.235602094
1990,Singapore,L4,Crest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
